Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
60ae7fd5eaba666e1a9d6788,60a2d1593f270f92fa69305d,APPROVED,2021-05-26T17:05:25.593000Z,2021-05-26T17:54:35.515000Z,2021-05-26T18:15:51.980000Z,,2950,NOCODE,192,"English, Spanish, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
60ae7fd8dcdb2223606d0f72,5fbab1b8266280ad6e6e13c7,APPROVED,2021-05-26T17:06:00.626000Z,2021-05-26T18:07:31.014000Z,2021-05-26T18:16:55.628000Z,,3691,84331F77,378,"Dutch, English, Italian",29,Male,White,Netherlands,Germany,Netherlands,Dutch,Yes,Full-Time
60ae7fda07e206765ab49aee,607a981a8b7874690d597c0d,APPROVED,2021-05-26T17:06:07.054000Z,2021-05-26T17:59:35.728000Z,2021-05-26T18:17:08.289000Z,,3209,NOCODE,63,"English, French",23,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED
60ae7fdb3c29ae9a7b0ee463,60a90be1be2d42fba2368523,APPROVED,2021-05-26T17:08:33.011000Z,2021-05-26T18:04:54.897000Z,2021-05-26T18:17:14.902000Z,,3382,84331F77,126,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
60ae7fdc412eccc7f612a458,609101a8a29bc713a6bcdbba,APPROVED,2021-05-26T17:06:06.570000Z,2021-05-26T18:01:48.831000Z,2021-05-26T18:17:17.361000Z,,3343,cc=84331F77,305,English,40,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
60ae7fdce4d283d68b54ac4d,5f60713e595007000a8e1da7,APPROVED,2021-05-26T17:05:32.574000Z,2021-05-26T18:00:32.938000Z,2021-05-26T18:17:19.632000Z,,3301,84331F77,546,"Czech, English, German, Polish, Russian",25,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Full-Time
60ae7fde58ee802e1d912ad8,608c2f0f1df309615f6f5b52,APPROVED,2021-05-26T17:05:34.237000Z,2021-05-26T18:04:35.704000Z,2021-05-26T18:17:37.780000Z,,3542,NOCODE,81,"Portuguese, Spanish, English",27,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
60ae7fde8d19b23fffff236c,5f591c6d75be841230aa6ced,APPROVED,2021-05-26T17:05:34.054000Z,2021-05-26T18:02:47.862000Z,2021-05-26T18:17:44.862000Z,,3434,84331F77,379,"English, Polish",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
60ae7fdeff3ec530748ef69e,5eea1be10e95520beb9fa654,APPROVED,2021-05-26T17:05:34.160000Z,2021-05-26T17:56:48.447000Z,2021-05-26T18:18:03.987000Z,,3075,3D447610,1879,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
60ae7fdf450350ba5b707175,57843b986475d400015a8e45,APPROVED,2021-05-26T17:05:35.991000Z,2021-05-26T17:53:47.452000Z,2021-05-26T18:19:30.370000Z,,2892,NOCODE,2009,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
60ae7fe00d4ecd76f101cb21,60a1516dc132822469f45c55,APPROVED,2021-05-26T17:05:43.563000Z,2021-05-26T17:58:59.997000Z,2021-05-26T18:19:46.283000Z,,3197,NOCODE,21,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
60ae7fe0b76714b346a46056,5ea8010daf54da1e951b8861,APPROVED,2021-05-26T17:05:36.094000Z,2021-05-26T17:56:19.973000Z,2021-05-26T18:21:57.870000Z,,3044,NOCODE,579,"Polish, English",21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
60ae7fe0dc5094d6147f6d09,5f52237276d614488e847c1b,APPROVED,2021-05-26T17:05:36.742000Z,2021-05-26T17:57:14.329000Z,2021-05-26T18:22:23.284000Z,,3098,NOCODE,334,"Hebrew, English",43,Male,White,Israel,Israel,Israel,Hebrew,DATA_EXPIRED,DATA_EXPIRED
60ae7fe17ce649e1a3453813,60acb5d4727b993c9f32ee72,APPROVED,2021-05-26T17:05:40.400000Z,2021-05-26T18:02:53.797000Z,2021-05-26T18:23:14.691000Z,,3434,NOCODE,100,"English, Hindi",24,Male,Asian,India,United Kingdom,India,Hindi,DATA_EXPIRED,DATA_EXPIRED
60ae7fe18d202785f5d842b7,600abec042ce9902cb63f0a2,APPROVED,2021-05-26T17:06:02.254000Z,2021-05-26T17:54:34.597000Z,2021-05-26T18:22:37.890000Z,,2913,3D447610,387,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
60ae7fe2304b103904edbff4,608adf0cc8637f7f395352b1,APPROVED,2021-05-26T17:06:02.847000Z,2021-05-26T18:05:54.528000Z,2021-05-26T18:23:30.356000Z,,3592,84331F77,266,"English, Hungarian",22,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Other
60ae7fe25d6f65eb5b9f742c,5f5aa7a073b8271a0ab0947c,APPROVED,2021-05-26T17:05:38.770000Z,2021-05-26T17:58:51.012000Z,2021-05-26T18:28:58.040000Z,,3193,NOCODE,515,"Spanish, English",29,Male,Mixed,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
60ae7fe2a28181494b716c97,5a94a2b24eecca0001dd3c43,APPROVED,2021-05-26T17:05:43.331000Z,2021-05-26T17:54:50.653000Z,2021-05-26T18:28:39.176000Z,,2948,NOCODE,198,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
60ae7fe2f1c6571cfd3abdf9,5ce19c2090d2dc0015f86ca7,APPROVED,2021-05-26T17:05:38.297000Z,2021-05-26T17:53:40.811000Z,2021-05-26T18:28:16.889000Z,,2883,3D447610,327,"English, Indonesian, Malay",25,Male,Asian,Indonesia,United Kingdom,Indonesia,Indonesian,DATA_EXPIRED,DATA_EXPIRED
60ae7fe3128a1d9f8eadf526,5f563d4bc1684c0241b17264,APPROVED,2021-05-26T17:06:01.339000Z,2021-05-26T17:58:06.246000Z,2021-05-26T18:27:55.758000Z,,3125,NOCODE,254,English,25,Male,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
60ae7fe380cef7e0e913db37,60199372bd48490e12a0d92e,APPROVED,2021-05-26T17:05:39.137000Z,2021-05-26T17:55:28.868000Z,2021-05-26T18:27:32.291000Z,,2990,NOCODE,354,"English, Slovenian",23,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Other
60ae7fe3a5b85626048df24c,5be03bf177e0190001b4ad0a,APPROVED,2021-05-26T17:05:53.832000Z,2021-05-26T17:56:22.160000Z,2021-05-26T18:27:17.145000Z,,3029,NOCODE,241,"Dutch, English",25,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
60ae7fe3ec4b0336c1855af7,581ccd016c73180001fa5b2a,APPROVED,2021-05-26T17:05:39.004000Z,2021-05-26T18:02:44.061000Z,2021-05-26T18:26:57.764000Z,,3426,84331F77,4044,"English, Arabic, Urdu",45,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
60ae80c422abebf1d2d041b1,607c8faf6d8e98b09d585eb3,APPROVED,2021-05-26T17:10:46.085000Z,2021-05-26T17:59:40.541000Z,2021-05-26T18:26:54.876000Z,,2935,NOCODE,739,"German, English, French",28,Male,Black,Togo,Germany,Togo,German,Yes,Part-Time
60ae80c42dd48b2d7105e323,6008057b6fbeef0d476b756b,APPROVED,2021-05-26T17:09:55.435000Z,2021-05-26T17:55:34.212000Z,2021-05-26T18:26:23.643000Z,,2739,84331F77,579,"English, Romanian",27,Male,White,Romania,United Kingdom,Romania,Romanian,No,Full-Time
60ae80c4412eccc7f612a464,5baf6705848bbd0001d6fc8a,APPROVED,2021-05-26T17:09:24.642000Z,2021-05-26T18:01:27.083000Z,2021-05-26T18:26:06.408000Z,,3123,84331F77,1415,"German, Italian, English, French, Polish",28,Female,White,Poland,Poland,Poland,English,No,Full-Time
60ae80c4450350ba5b707188,5ec3b9e83f187802a6aa041e,APPROVED,2021-05-26T17:09:57.836000Z,2021-05-26T18:05:10.961000Z,2021-05-26T18:25:24.133000Z,,3314,84331F77,814,"English, Greek, German, Spanish, French",26,Female,White,Greece,Greece,Greece,Greek,Yes,Full-Time
60ae810fd90c4fae6b21ad2d,5c0873675b32d500012e3f2c,APPROVED,2021-05-26T17:10:45.831000Z,2021-05-26T18:03:02.730000Z,2021-05-26T18:24:59.417000Z,,3137,NOCODE,2144,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
60ae810fdc842b123d1e5039,5cd7e678df739100011b1839,APPROVED,2021-05-26T17:10:58.721000Z,2021-05-26T18:03:22.504000Z,2021-05-26T18:24:45.384000Z,,3144,NOCODE,824,"English, German, Polish",35,Male,White,Poland,Poland,Poland,DATA_EXPIRED,DATA_EXPIRED,Full-Time
60ae812e11ffc929435c2637,576597499dcd970001dbdbe5,APPROVED,2021-05-26T17:11:19.407000Z,2021-05-26T18:19:42.742000Z,2021-05-26T18:24:20.655000Z,,4104,https://www.prolific.co/auth/accounts/login/?next=/openid/authorize%3Fclient_id%3D447610%26redirect_uri%3Dhttps%253A%252F%252Fapp.prolific.co%252Foauth%252Fcallback%26response_type%3Did_token%2520token%26scope%3Dopenid%2520profile%26state%3D01bfc54bea624cbbb8913e0e8f079f05%26nonce%3D88ad846773594f129aa1d31a68f89c0a%26returnPath%3D%252Fsubmissions%252Fcomplete%253Fcc%253D84331F77%2526fbclid%253DIwAR3luxm9WWulg0By-NC61fusy0LZZyJGweBkhBRFvds8ixA1i9nZaWUYBqQ,46,"Portuguese, English",39,Male,White,DATA_EXPIRED,DATA_EXPIRED,Portugal,English,DATA_EXPIRED,DATA_EXPIRED
